CENSUS_TRACT,MED_AGE,MED_INCOME,COUNTS,LONGITUDE,LATITUDE,LONG_CENSUS,CENSUS,STATE_ID
1.07,54.2,85750,94,-106.4980165,35.13064284,107,1.07,1
1.08,35.8,63621,78,-106.5156786,35.13065074,108,1.08,2
1.09,43,74524,112,-106.5333189,35.12635712,109,1.09,3
1.1,40,35066,113,-106.5198449,35.11777862,110,1.1,4
1.11,40.1,80000,69,-106.5143,35.12354084,111,1.11,5
1.12,47.7,66875,46,-106.4897625,35.1053,112,1.12,6
1.13,30.7,48194,78,-106.5156381,35.11624843,113,1.13,7
1.14,36.9,48141,113,-106.5227841,35.11623635,114,1.14,8
1.15,33.1,29194,177,-106.5154385,35.10148444,115,1.15,9
1.16,41.3,63977,105,-106.5099,35.10871999,116,1.16,10
1.17,41.9,60884,134,-106.539,35.13066367,117,1.17,11
1.18,42.6,54650,195,-106.5686617,35.13075416,118,1.18,12
1.19,47.7,72557,41,-106.5688673,35.1173,119,1.19,13
1.2,39.6,54840,65,-106.5508509,35.11838143,120,1.2,14
1.21,45.1,43929,258,-106.5508831,35.10795748,121,1.21,15
1.22,44.1,60010,221,-106.5568927,35.10275939,122,1.22,16
1.23,45.1,47620,137,-106.5418452,35.10188673,123,1.23,17
1.24,35.7,28329,547,-106.5687391,35.09769411,124,1.24,18
1.25,53.5,92684,54,-106.490746,35.09301,125,1.25,19
1.26,48.3,51759,143,-106.70756,35.0979,126,1.26,20
1.27,41.9,63459,153,-106.5153108,35.09358817,127,1.27,21
1.28,35.3,46250,286,-106.5265073,35.0903,128,1.28,22
1.29,37.9,42028,263,-106.5002197,35.09509041,129,1.29,23
11.01,46,51978,130,-106.60429,35.064655,1101,11.01,24
11.02,33.3,27938,85,-106.61315,35.065887,1102,11.02,25
12,30.7,26549,629,-106.6166741,35.04796875,1200,12,26
13,36.6,31218,204,-106.6455774,35.06966752,1300,13,27
14,45,24639,167,-106.6536364,35.07393898,1400,14,28
15,32,32388,313,-106.6458053,35.0770545,1500,15,29
16,29,24406,308,-106.6336099,35.08223281,1600,16,30
17,32.2,35728,379,-106.6076262,35.08747503,1700,17,31
18,20.2,24293,124,-106.6181644,35.08742495,1800,18,32
19,36.9,46389,46,-106.628105,35.084385,1900,19,33
2.03,39.5,40590,214,-106.5864788,35.130921,203,2.03,34
2.04,37.7,50649,295,-106.5931934,35.13093446,204,2.04,35
2.05,35.3,36894,157,-106.595764,35.117764,205,2.05,36
2.06,40.6,57895,91,-106.5864408,35.12189276,206,2.06,37
2.07,47.3,39576,649,-106.5709383,35.1091,207,2.07,38
2.08,37.8,46838,605,-106.6041852,35.10745735,208,2.08,39
20,29.1,24647,361,-106.6417779,35.09166475,2000,20,40
21,28.7,21932,769,-106.6551597,35.08501924,2100,21,41
22,40.5,36647,289,-106.6788871,35.09085999,2200,22,42
23,34.3,36250,254,-106.68134,35.08549,2300,23,43
24.01,39.6,42063,268,-106.7057906,35.10337807,2401,24.01,44
24.02,29.5,29616,482,-106.7094743,35.08020926,2402,24.02,45
25,34.9,24183,159,-106.6706,35.10012637,2500,25,46
26,43.5,39821,117,-106.6687148,35.09366807,2600,26,47
27,41,41667,367,-106.6468607,35.09674749,2700,27,48
29,37.5,46019,443,-106.6436918,35.11334352,2900,29,49
3,39.3,57042,290,-106.6043602,35.09478956,300,3,50
30.01,38.5,41596,172,-106.6636207,35.11488996,3001,30.01,51
30.02,50.7,61830,52,-106.67458,35.10559,3002,30.02,52
31,55,63717,31,-106.670654,35.13742,3100,31,53
32.01,41.5,41107,137,-106.6547228,35.13813947,3201,32.01,54
32.02,36,35349,156,-106.6428096,35.1220742,3202,32.02,55
34,31.9,22107,651,-106.6217157,35.12379204,3400,34,56
35.01,45.8,47868,90,-106.6223798,35.17792408,3501,35.01,57
35.02,52.7,78384,24,-106.6402263,35.14397373,3502,35.02,58
36,48.7,47600,8,-106.6368919,35.1948697,3600,36,59
37.07,42.1,48211,147,-106.5598643,35.13678877,3707,37.07,60
